"","X","Y","X_ACC","Y_ACC","Z_ACC","X_GYR","Y_GYR","Z_GYR","status"
"3813",137.093,-16.675,0.115,-0.805,0.194,80.41201,-5.664,18.656,"0"
"3814",139.804,-17.448,0.113,-0.807,0.194,79.634,-5.359,18.244,"0"
"3815",140.736,-17.755,0.119,-0.803,0.189,78.443,-5.634,17.985,"0"
"3816",142.004,-18.055,0.117,-0.8059999,0.205,84.07599,-5.221,18.183,"0"
"3817",145.426,-18.715,0.118,-0.8059999,0.192,68.26,-6.107,18.031,"0"
"3818",142.104,-18.476,0.138,-0.811,0.185,82.534,-4.046,18.229,"0"
"3819",145.099,-18.1,0.125,-0.8059999,0.193,78.595,-3.298,17.069,"0"
"3820",146.074,-18.318,0.119,-0.808,0.179,73.939,-8.947,17.053,"0"
"3821",146.004,-18.342,0.115,-0.802,0.201,84.336,0.351,17.145,"0"
"3822",148.849,-19.56,0.125,-0.802,0.18,73.95401,-15.359,17.466,"0"
"3823",147.556,-18.925,0.135,-0.802,0.207,80.641,-5.618,18.046,"0"
"3824",149.925,-18.84,0.126,-0.805,0.205,81.405,-5.588,19.038,"0"
"3825",149.834,-18.956,0.112,-0.793,0.193,72.656,-7.298,18.824,"0"
"3826",149.554,-19.917,0.113,-0.8059999,0.159,75.878,-7.069,20.947,"0"
"3827",149.407,-20.138,0.119,-0.813,0.154,76.534,-5.634,20.046,"0"
"3828",148.808,-20.406,0.116,-0.814,0.145,79.893,-5.496,19.649,"0"
"3829",148.877,-20.547,0.114,-0.812,0.134,77.008,-6,19.756,"0"
"3830",148.333,-20.666,0.11,-0.8190001,0.115,77.77101,-5.588,19.588,"0"
"3831",149.087,-20.814,0.117,-0.811,0.138,75.511,-5.817,20.397,"0"
"3832",148.666,-21.203,0.117,-0.814,0.12,78.046,-5.435,20.076,"0"
"3833",149.827,-21.005,0.117,-0.815,0.13,75.725,-5.511,19.832,"0"
"3834",148.41,-21.294,0.115,-0.814,0.12,78.26,-6.122,21.053,"0"
"3835",148.212,-21.42,0.115,-0.814,0.114,82.718,-5.481,20.137,"0"
"3836",149.302,-21.535,0.118,-0.812,0.12,75.969,-5.786,20.244,"0"
"3837",147.311,-21.853,0.114,-0.814,0.105,81.664,-5.725,20.107,"0"
"3838",147.837,-21.733,0.114,-0.815,0.1,73.74,-6.153,22.031,"0"
"3839",148.127,-21.889,0.117,-0.813,0.104,73.237,-5.908,20.336,"0"
"3840",166.361,-17.912,0.093,0.213,-0.91,79.511,-5.496,18.397,"0"
"3841",184.148,-31.143,0.093,0.213,-0.909,79.527,-5.618,18.412,"0"
"3842",214.159,-54.494,0.092,0.215,-0.91,79.466,-5.618,18.473,"0"
"3843",227.576,-64.836,0.092,0.214,-0.909,79.45,-5.725,18.382,"0"
"3844",199.71,-43.297,0.093,0.212,-0.91,79.527,-5.542,18.458,"0"
"3845",239.554,-74.348,0.09099999,0.213,-0.912,79.527,-5.511,18.519,"0"
"3846",250.672,-83.11,0.095,0.214,-0.91,79.496,-5.344,18.29,"0"
"3847",271.674,-98.746,0.093,0.215,-0.908,79.511,-5.435,18.489,"0"
"3848",280.347,-105.632,0.093,0.213,-0.907,79.359,-5.756,18.412,"0"
"3849",262.024,-91.246,0.09099999,0.214,-0.913,79.618,-5.603,18.336,"0"
"3850",297.462,-117.951,0.094,0.213,-0.906,79.679,-5.481,18.397,"0"
"3851",289.13,-112.049,0.094,0.214,-0.906,79.573,-5.359,18.55,"0"
"3852",304.324,-123.395,0.094,0.214,-0.906,79.588,-5.511,18.412,"0"
