"","X","Y","X_ACC","Y_ACC","Z_ACC","X_GYR","Y_GYR","Z_GYR","status"
"1",-139.73,105.085,-0.339,-0.078,0.934,-60.351,31.878,21.359,"1"
"2",-141.255,104.553,-0.354,-0.084,0.943,-53.573,28.656,15.985,"1"
"3",-141.773,104.451,-0.332,-0.076,0.921,-54.137,30.931,8.947,"1"
"4",-142.014,104.23,-0.324,-0.072,0.918,-54.748,34.794,10.855,"1"
"5",-142.475,104.164,-0.338,-0.09,0.9150001,-51.756,36.382,8.382,"1"
"6",-128.478,115.983,-0.434,0.389,0.701,-109.756,42.794,-26.427,"1"
"7",-138.738,118.692,-0.649,0.001,1.112,-68.718,29.084,-11.282,"1"
"8",-149.469,116.21,-0.53,-0.282,0.569,-90.076,61.405,12.763,"1"
"9",-152.617,123.213,-0.618,-0.381,0.596,-39.557,75.069,1.069,"1"
"10",-148.861,131.122,-0.78,-0.198,0.7059999,-35.191,27.817,8.534,"1"
"11",-147.621,127.743,-0.673,-0.117,0.62,-49.527,8.214,43.389,"1"
"12",-147.132,126.291,-0.685,-0.042,0.663,-63.832,24.229,48.275,"1"
"13",-146.654,127.297,-0.633,-0.051,0.685,-45.145,51.756,12.733,"1"
"14",-143.7,129.596,-0.68,0.08,0.657,-51.832,79.649,11.985,"1"
"15",-141.909,144.247,-0.879,0.03,0.411,-50.092,111.008,21.252,"1"
"16",-140.297,159.665,-0.986,0.124,0.197,-41.237,59.863,2.244,"1"
"17",-134.727,172.222,-1.253,-0.037,0.133,-1.282,22.962,-30.412,"1"
"18",-120.723,171.577,-0.745,-0.166,0.215,35.267,66.41201,-32.046,"1"
"19",-104.379,174.79,-0.765,-0.07,0.326,24.046,75.252,-24.733,"1"
"20",-96.223,188.225,-1.134,0.02,0.067,-37.328,75.328,9.008,"1"
"21",-98.592,200.057,-0.863,-0.135,-0.202,-44.55,92.26001,19.008,"1"
"22",-98.283,215.675,-0.793,0.001,-0.156,-21.74,99.35901,11.099,"1"
"23",-95.93699,221.391,-0.866,-0.087,-0.317,-30.107,31.527,48.26,"1"
"24",-95.738,215.463,-0.854,-0.073,-0.25,-24.321,34,39.389,"1"
"25",-94.11201,212.991,-0.786,0.099,-0.139,-46.733,42.779,26.473,"1"
"26",-96.159,213.271,-0.847,-0.014,-0.088,-38.29,35.206,18.183,"1"
"27",-94.41001,208.932,-1.178,0.044,-0.304,-36.214,16.275,7.389,"1"
"28",-91.931,207.008,-0.975,-0.03,-0.185,-19.115,31.038,0.947,"1"
"29",-93.569,202.978,-0.871,-0.024,-0.161,-55.252,30.748,10.443,"1"
"30",-100.516,193.56,-0.9150001,0.037,-0.031,-83.557,-50.489,25.099,"1"
"31",-119.716,154.593,-0.393,0.442,0.304,-105.679,-117.176,267.282,"1"
"32",-113.351,143.654,-0.61,1.508,0.558,-8.076,99.221,165.084,"1"
"33",-102.624,151.545,-0.345,1.212,0.44,-11.023,89.298,97.924,"1"
"34",-93.46701,152.505,-0.324,1.235,0.513,-29.802,44.443,33.038,"1"
"35",-92.432,149.899,-0.365,1.204,0.296,-60.076,-17.282,-64.382,"1"
"36",-94.88601,131.246,-0.3,1.573,0.087,-112.122,6.794,-101.634,"1"
"37",-100.648,126.171,-0.394,1.061,0.244,-65.16,43.374,-65.053,"1"
"38",-100.295,124.194,-0.531,1.02,0.47,-43.817,8.733,35.008,"1"
"39",-97.712,123.815,-0.396,0.9639999,0.426,-44.214,22.534,90.794,"1"
"40",-93.13701,126.367,-0.366,1.171,0.397,-23.099,47.466,87.06901,"1"
"41",-86.232,130.167,-0.375,1.227,0.51,-22.305,15.313,47.069,"1"
"42",-82.33001,121.531,-0.334,1.488,0.333,-45.74,-3.496,-9.679,"1"
"43",-81.937,110.547,-0.308,1.382,0.167,-75.099,-42.794,-76.489,"1"
"44",-86.573,98.563,-0.382,1.293,0.158,-72.24401,-8.687,-68.26,"1"
"45",-87.852,93.548,-0.486,1.049,0.289,-47.863,22.626,-26.076,"1"
"46",-87.467,97.004,-0.427,1.018,0.529,-40.366,24.565,72.702,"1"
"47",-87.263,99.814,-0.391,1.259,0.452,-49.374,61.191,78.351,"1"
"48",-92.317,90.102,-0.365,0.966,0.521,-49.511,33.878,56.733,"1"
"49",-92.706,95.663,-0.354,1.128,0.563,-58.321,65.252,74.641,"1"
"50",-94.70301,103.395,-0.245,1.214,0.455,-77.237,98.12201,73.053,"1"
"51",-99.244,118.303,-0.24,1.214,0.441,-82.626,116.824,64.504,"1"
"52",-103.019,134.828,-0.202,1.179,0.441,-73.252,120.031,53.802,"1"
"53",-103.854,147.661,-0.342,1.135,0.489,-50.244,90.458,43.099,"1"
"54",-100.932,149.795,-0.365,1.288,0.4,-62.748,56.641,-18.55,"1"
"55",-102.756,150.201,-0.431,1.196,0.381,-77.389,55.573,-62.87,"1"
"56",-108.303,154.765,-0.605,1.079,0.465,-89.847,59.16,-42.168,"1"
"57",-114.684,156.032,-0.532,0.88,0.473,-91.176,53.237,20.916,"1"
"58",-121.186,157.116,-0.589,1.093,0.414,-88.427,74.39701,84.672,"1"
"59",-125.2,161.612,-0.498,1.248,0.349,-83.16001,94.519,109.252,"1"
"60",-127.313,168.319,-0.361,1.246,0.4,-80.39701,114.382,90.70201,"1"
"61",-128.341,177.74,-0.359,1.142,0.458,-65.771,98.29,59.908,"1"
"62",-124.691,179.951,-0.39,1.133,0.535,-38.656,47.13,22.336,"1"
"63",-118.826,174.193,-0.295,1.143,0.449,-41.176,9.893,-43.13,"1"
"64",-114.771,160.092,-0.413,1.304,0.347,-64.733,-30.748,-59.863,"1"
"65",-116.487,149.61,-0.364,1.196,0.335,-75.756,28.931,-48.534,"1"
"66",-114.813,143.605,-0.396,1.013,0.496,-50.183,39.084,1.634,"1"
"67",-114.326,141.774,-0.399,1.18,0.526,-69.435,83.81701,73.053,"1"
"68",-114.763,143.567,-0.298,1.202,0.414,-67.756,71.00801,92.534,"1"
"69",-113.202,150.975,-0.286,1.157,0.497,-56.458,101.466,58.901,"1"
"70",-108.727,150.872,-0.336,1.12,0.529,-42.244,47.252,31.221,"1"
"71",-103.925,144.728,-0.345,1.449,0.448,-37.725,13.298,-21.16,"1"
"72",-99.346,134.281,-0.363,1.18,0.31,-31.634,-32.229,-35.344,"1"
"73",-95.766,118.853,-0.426,1.254,0.233,-49.863,-6.779,-58.489,"1"
"74",-93.01101,111.395,-0.504,1.127,0.366,-42.595,-2.351,-30.702,"1"
"75",-91.53399,103.13,-0.356,1.065,0.486,-54.779,14.931,8.198,"1"
"76",-91.769,106.058,-0.361,1.13,0.469,-43.145,35.45,58.641,"1"
"77",-92.05001,114.14,-0.301,1.19,0.443,-60.687,80.611,71.084,"1"
"78",-93.415,127.228,-0.271,1.208,0.418,-54.076,83.71,61.511,"1"
"79",-90.854,131.961,-0.271,1.203,0.43,-44.901,61.328,39.069,"1"
"80",-87.087,130.208,-0.308,1.457,0.354,-32.824,21.634,0.504,"1"
"81",-79.24,117.719,-0.205,1.416,0.156,-31.45,-17.298,-75.939,"1"
"82",-76.783,105.91,-0.456,1.067,0.291,-38.947,-35.863,-55.74,"1"
"83",-76.752,89.378,-0.593,1.216,0.369,-61.282,-33.863,-30.748,"1"
"84",-79.842,92.569,-0.397,1.089,0.423,-58.198,43.328,29.969,"1"
"85",-81.142,96.727,-0.295,1.23,0.369,-49.252,62.763,81.847,"1"
"86",-79.773,104.338,-0.282,1.252,0.369,-44.183,82.336,82.824,"1"
"87",-77.941,113.062,-0.302,1.218,0.375,-43.069,70.534,37.45,"1"
"88",-74.819,117.163,-0.327,1.526,0.355,-42.214,49.176,5.313,"1"
"89",-73.38201,108.611,-0.283,1.374,0.242,-70.916,32.824,-26.397,"1"
"90",-85.802,119.571,-0.387,1.147,0.408,-43.328,68.672,55.527,"1"
"91",-80.31199,118.055,-0.389,1.423,0.411,-28.031,10.489,4.305,"1"
"92",-78.432,110.472,-0.322,1.349,0.197,-55.847,-27.573,-59.374,"1"
"93",-79.813,97.84801,-0.325,1.324,0.181,-69.298,-8.992,-54.992,"1"
"94",-81.923,93.428,-0.427,1.16,0.287,-64.427,34.901,-31.13,"1"
"95",-84.484,95.14601,-0.491,1.081,0.509,-46.992,38.443,30.443,"1"
"96",-88.436,98.704,-0.345,1.142,0.464,-73.78601,72.886,72.947,"1"
"97",-90.989,107.359,-0.342,1.189,0.427,-52.84,77.786,90.58001,"1"
"98",-88.377,113.583,-0.362,1.188,0.455,-41.649,64.198,55.298,"1"
"99",-85.157,114.496,-0.188,1.431,0.459,-48.092,50.763,5.191,"1"
"100",-83.711,105.577,-0.258,1.366,0.199,-62.427,-2.427,-58.504,"1"
"101",-84.355,101.454,-0.266,1.2,0.302,-53.924,-8.626,-29.664,"1"
"102",-84.699,99.082,-0.301,1.241,0.387,-70.229,42,-11.679,"1"
"103",-88.886,108.842,-0.328,1.198,0.435,-65.42,67.542,57.588,"1"
"104",-92.437,119.311,-0.232,1.263,0.389,-67.145,86,77.114,"1"
"105",-94.292,132.413,-0.208,1.191,0.376,-68.534,132.656,65.939,"1"
"106",-94.327,146.126,-0.292,1.195,0.434,-50.626,101.145,47.71,"1"
"107",-91.433,151.962,-0.297,1.207,0.407,-39.42,51.466,-10.962,"1"
"108",-87.37101,143.991,-0.245,1.469,0.227,-52.931,-5.221,-62.595,"1"
"109",-86.819,135.988,-0.314,1.267,0.279,-58.886,10.824,-42.504,"1"
"110",-88.24901,134.502,-0.366,1.141,0.34,-68.443,43.344,15.13,"1"
"111",-92.02101,139.604,-0.356,1.224,0.38,-72.38201,73.588,71.863,"1"
"112",-96.083,147.933,-0.269,1.251,0.369,-71.45,96.214,70.122,"1"
"113",-97.426,157.02,-0.302,1.23,0.393,-59.527,81.435,58.55,"1"
"114",-96.657,162.614,-0.315,1.188,0.385,-46.107,47.664,30.901,"1"
"115",-91.60701,156.287,-0.241,1.253,0.301,-28.031,5.008,-36.962,"1"
"116",-86.824,142.406,-0.307,1.248,0.185,-47.863,-16.702,-69.114,"1"
"117",-87.98,126.426,-0.195,1.257,0.331,-73.099,76.473,38.153,"1"
"118",-89.756,127.837,-0.183,1.236,0.365,-69.527,88.351,78.55,"1"
"119",-89.62501,128.238,-0.304,1.204,0.455,-45.45,44.473,55.069,"1"
"120",-86.678,127.251,-0.293,1.189,0.429,-42.519,20.672,5.786,"1"
"121",-83.941,118.498,-0.343,1.413,0.336,-38.26,-13.954,-12.26,"1"
"122",-79.785,103.232,-0.314,1.364,0.236,-43.038,-44.244,-59.832,"1"
"123",-79.234,89.329,-0.291,1.305,0.209,-60.183,-19.847,-74.947,"1"
"124",-80.21601,84.33101,-0.3,1.116,0.355,-55.374,15.802,0.29,"1"
"125",-80.07701,86.638,-0.286,1.155,0.492,-50.992,53.328,86.90101,"1"
"126",-80.792,96.64701,-0.276,1.193,0.461,-50.656,64.198,81.405,"1"
"127",-79.268,94.081,-0.414,1.173,0.634,-39.435,-29.985,12.992,"1"
"128",-81.005,84.49901,-0.32,1.171,0.447,-55.221,-39.298,-61.359,"1"
"129",-78.811,67.45,-0.298,1.376,0.336,-24.931,-77.237,-55.695,"1"
"130",-72.371,46.445,-0.25,1.276,0.26,-25.496,-70.641,-42.901,"1"
"131",-60.217,35.385,-0.199,1.169,0.605,-56.84,56.886,42.168,"1"
"132",-62.551,39.777,-0.329,1.067,0.6,-45.313,4.076,19.359,"1"
"133",-60.425,31.877,-0.317,1.199,0.398,-24.031,-48.718,-35.573,"1"
"134",-54.836,17.508,-0.166,1.351,0.26,-26.504,-34.992,-73.359,"1"
"135",-50.019,10.16,-0.362,1.27,0.199,-24.611,-48.656,-25.511,"1"
"136",-48.676,4.78,-0.412,1.216,0.333,-51.969,-10.305,-25.664,"1"
"137",-52.663,9.62,-0.197,1.192,0.421,-54.718,33.725,44.198,"1"
"138",-55.565,20.908,-0.182,1.247,0.477,-50.458,70.09201,64.672,"1"
"139",-56.329,32.705,-0.286,1.223,0.5,-44.458,48.58,41.511,"1"
"140",-56.527,37.89,-0.246,1.144,0.421,-45.282,27.16,3.878,"1"
"141",-54.51,39.469,-0.268,1.596,0.337,-22.626,7.878,-5.771,"1"
"142",-48.702,31.361,-0.069,1.409,0.192,-53.603,21.725,-50.336,"1"
"143",-52.272,40.5,-0.115,1.228,0.181,-67.618,59.114,10.198,"1"
"144",-56.583,55.251,-0.297,1.336,0.187,-68.886,103.786,87.74,"1"
"145",-61.41,73.36,-0.338,1.14,0.346,-62.519,85.817,60.809,"1"
"146",-66.065,85.99601,-0.2,1.13,0.428,-49.542,32.305,4.84,"1"
"147",-65.001,84.496,-0.155,1.22,0.337,-34.473,2,-18.84,"1"
"148",-60.192,76.484,-0.221,1.527,0.254,-17.481,-18.229,-15.847,"1"
"149",-54.54,67.123,-0.214,1.438,0.033,-40.183,-22.458,-44.229,"1"
"150",-54.317,61.977,-0.287,1.269,0.158,-55.282,0.9309999,-42.87,"1"
"151",-58.197,57.568,-0.373,1.222,0.277,-67.084,-3.084,10.214,"1"
"152",-62.883,58.547,-0.382,1.214,0.352,-62.992,30.137,76.321,"1"
"153",-69.112,65.01,-0.299,1.206,0.437,-69.145,56.595,61.588,"1"
"154",-69.432,61.537,-0.391,1.144,0.5,-34.046,-35.557,0.992,"1"
"155",-65.66101,46.673,-0.21,1.251,0.299,-25.878,-45.664,-56.443,"1"
"156",-59.887,36.597,-0.295,1.246,0.145,-6.672,-87.725,-46.534,"1"
"157",-53.854,17.904,-0.394,1.287,0.095,-31.053,-49.74,-59.344,"1"
"158",-53.099,10.863,-0.366,1.22,0.265,-53.527,0.275,-40.321,"1"
"159",-55.398,14.756,-0.294,1.13,0.44,-48.458,12.916,33.466,"1"
"160",-57.597,22.042,-0.281,1.273,0.481,-48.321,44.397,54.183,"1"
"161",-58.763,33.979,-0.299,1.158,0.446,-38.824,50.672,66.504,"1"
"162",-57.016,39.842,-0.26,1.172,0.446,-38.26,37.298,39.511,"1"
"163",-56.068,38.495,-0.291,1.45,0.343,-40.015,-0.473,-14.626,"1"
"164",-54.093,34.093,-0.226,1.297,0.217,-44.107,-36.473,-48.763,"1"
"165",-56.263,33.282,-0.313,1.361,0.185,-53.618,-4.092,-75.725,"1"
"166",-57.233,34.214,-0.317,1.111,0.352,-54.29,36.015,-0.962,"1"
"167",-61.887,44.076,-0.42,1.24,0.343,-70.473,63.267,91.48101,"1"
"168",-65.67,53.941,-0.157,1.342,0.329,-80.336,73.603,99.145,"1"
"169",-68.575,64.00701,-0.142,1.099,0.399,-56.931,58.718,31.634,"1"
"170",-67.582,67.117,-0.184,1.149,0.486,-36.321,16.565,-1.45,"1"
"171",-64.962,63.916,-0.272,1.487,0.349,-33.695,-1.802,-27.878,"1"
"172",-60.654,55.009,-0.262,1.282,0.235,-39.16,-35.924,-53.802,"1"
"173",-70.81501,66.75,-0.326,1.16,0.512,-38.092,13.45,11.664,"1"
"174",-68.025,62.805,-0.241,1.373,0.365,-30.687,-21.863,-30.351,"1"
"175",-63.485,51.732,-0.296,1.322,0.119,-25.176,-60.87,-56.519,"1"
"176",-59.985,42.505,-0.334,1.372,0.151,-39.664,-56.626,-65.74,"1"
"177",-61.735,42.111,-0.23,1.181,0.36,-61.924,36.397,33.176,"1"
"178",-68.511,55.006,-0.356,1.364,0.348,-81.969,127.985,93.679,"1"
"179",-71.597,69.768,-0.228,1.23,0.332,-56.092,114.55,78.092,"1"
"180",-68.806,78.413,-0.313,1.248,0.444,-22.183,-11.008,20.244,"1"
"181",-64.269,75.461,-0.192,1.221,0.443,-40.504,11.466,-14.718,"1"
"182",-63.856,69.725,-0.208,1.549,0.286,-53.496,2.015,-20.504,"1"
"183",-64.297,59.031,-0.186,1.404,0.185,-77.969,-1.74,-54.58,"1"
"184",-70.032,58.062,-0.324,1.184,0.206,-68.366,4.107,-52.886,"1"
"185",-71.762,56.825,-0.343,1.12,0.391,-57.023,28.595,2.702,"1"
"186",-76.127,65.297,-0.396,1.283,0.438,-66.092,85.114,83.71,"1"
"187",-78.937,77.105,-0.234,1.222,0.33,-72.305,121.389,89.053,"1"
"188",-80.62,90.066,-0.267,1.121,0.429,-62.229,95.29799,54.137,"1"
"189",-80.098,98.58001,-0.276,1.138,0.503,-41.359,53.527,20.321,"1"
"190",-77.097,96.913,-0.314,1.547,0.444,-37.496,11.038,-9.71,"1"
"191",-75.603,89.09801,-0.31,1.23,0.229,-50.947,-40.244,-43.038,"1"
"192",-76.318,76.2,-0.246,1.267,0.197,-60.687,14.962,-57.282,"1"
"193",-75.795,73.78,-0.294,1.162,0.371,-43.45,26.046,-12.168,"1"
"194",-75.599,74.45301,-0.343,1.3,0.396,-64.931,62.626,71.954,"1"
"195",-78.071,85.55201,-0.232,1.252,0.366,-78.947,98.30501,82.031,"1"
"196",-81.791,97.85,-0.262,1.141,0.453,-56.031,61.328,38.901,"1"
"197",-80.745,100.013,-0.283,1.162,0.512,-37.114,13.771,9.939,"1"
"198",-78.224,95.604,-0.266,1.221,0.412,-34.229,-1.588,-14.992,"1"
"199",-74.141,88.27201,-0.181,1.199,0.324,-43.725,0.397,-49.466,"1"
"200",-72.927,76.912,-0.292,1.305,0.231,-56.534,-0.58,-51.237,"1"
"201",-73.37,70.228,-0.292,1.171,0.294,-52.412,22.779,-12.885,"1"
"202",-73.796,73.038,-0.334,1.164,0.436,-62.687,56.794,36.55,"1"
"203",-79.084,85.42701,-0.42,1.181,0.39,-64.244,87.00801,80.305,"1"
"204",-83.782,97.079,-0.325,1.199,0.38,-66.55,83.969,50.198,"1"
"205",-84.58,104.603,-0.314,1.135,0.511,-48.977,50.504,20.351,"1"
"206",-83.769,104.028,-0.309,1.159,0.475,-43.878,12.87,-4.977,"1"
"207",-81.814,100.452,-0.287,1.245,0.416,-42.733,1.252,-36.366,"1"
"208",-80.002,92.648,-0.391,1.278,0.288,-43.603,-41.405,-34.046,"1"
"209",-78.969,84.61,-0.33,1.197,0.268,-48.901,-3.679,-42.183,"1"
"210",-79.503,83.528,-0.302,1.161,0.456,-61.481,48.321,19.42,"1"
"211",-83.507,90.587,-0.342,1.151,0.478,-62.58,53.511,60.672,"1"
"212",-86.636,98.865,-0.259,1.12,0.516,-59.298,67.649,47.328,"1"
"213",-87.906,105.512,-0.257,1.18,0.499,-57.191,67.802,47.664,"1"
"214",-88.10901,109.925,-0.359,1.141,0.55,-49.969,50.336,4.076,"1"
"215",-62.436,36.716,-0.309,1.155,0.499,-34.84,-8.855,-19.374,"1"
"216",-59.703,31.569,-0.271,1.153,0.553,-32.473,-12.611,-2.26,"1"
"217",-58.956,30.088,-0.218,1.15,0.493,-45.771,22.763,-3.74,"1"
"218",-58.401,34.723,-0.227,1.182,0.536,-40.916,38.84,15.74,"1"
"219",-58.655,41.77,-0.256,1.151,0.456,-50.84,48.779,25.466,"1"
"220",-58.795,46.034,-0.383,1.217,0.366,-37.954,12.244,29.099,"1"
"221",-57.519,42.029,-0.34,1.27,0.259,-44.962,-0.885,-19.267,"1"
"222",-55.661,36.832,-0.318,1.236,0.294,-35.588,-28,-27.023,"1"
"223",-54.626,30.66,-0.316,1.298,0.306,-42.58,-11.817,-24.321,"1"
"224",-53.56,26.104,-0.269,1.205,0.459,-37.725,-0.626,-20.443,"1"
"225",-52.93,26.267,-0.186,1.193,0.517,-45.13,21.405,16.214,"1"
"226",-53.815,31.279,-0.186,1.158,0.445,-46.366,44.947,57.252,"1"
"227",-53.094,39.898,-0.224,1.302,0.381,-40.214,63.527,34.26,"1"
"228",-51.333,49.231,-0.228,1.195,0.249,-21.847,2.305,10.794,"1"
"229",-49.316,55.221,-0.202,1.279,0.145,-36.565,33.771,12.641,"1"
"230",-48.089,57.171,-0.197,1.315,0.178,-49.405,21.74,9.664,"1"
"231",-51.117,59.06,-0.238,1.313,0.148,-71.664,22.626,14.519,"1"
"232",-56.53,61.37,-0.263,1.152,0.343,-50.718,-49.725,-12.672,"1"
"233",-59.848,58.632,-0.126,1.199,0.371,-51.649,-18.702,-41.298,"1"
"234",-58.525,46.435,-0.222,1.226,0.346,-35.588,-44.275,-27.878,"1"
"235",-55.73,36.666,-0.273,1.209,0.352,-29.817,-40.214,-2.901,"1"
"236",-52.452,28.851,-0.266,1.163,0.381,-22.779,-28.565,10.626,"1"
"237",-48.94,23.5,-0.187,1.186,0.251,-35.863,-18.962,-22.305,"1"
"238",-50.839,23.343,-0.218,1.288,0.187,-57.573,11.511,-38.076,"1"
"239",-52.945,24.927,-0.194,1.279,0.275,-63.45,36.092,0.412,"1"
"240",-58.932,36.076,-0.27,1.335,0.329,-77.954,75.267,57.74,"1"
"241",-62.147,45.72,-0.01,1.196,0.35,-82.321,121.099,33.557,"1"
"242",-65.622,61.137,-0.165,1.164,0.46,-63.405,99.069,43.496,"1"
"243",-66.887,72.192,-0.26,1.096,0.509,-48.168,71.832,24.229,"1"
"244",-66.317,78.131,-0.302,1.339,0.491,-42.489,38.718,-18.183,"1"
"245",-66.793,77.603,-0.198,1.261,0.313,-69.679,24.107,-20.351,"1"
"246",-72.133,83.18801,-0.189,1.21,0.25,-68.321,52.687,12.809,"1"
"247",-75.457,91.212,-0.346,1.274,0.355,-73.588,76.321,45.649,"1"
"248",-81.47,106.191,-0.257,1.166,0.417,-66.031,76.656,48.534,"1"
"249",-84.852,120.208,-0.207,1.181,0.492,-61.008,85.389,41.817,"1"
"250",-87.84301,132.654,-0.271,1.112,0.488,-62.336,95.237,28.702,"1"
"251",-88.444,141.041,-0.348,1.433,0.459,-48.992,77.099,23.527,"1"
"252",-86.018,141.543,-0.226,1.271,0.375,-62.443,45.771,-4.321,"1"
"253",-91.324,147.675,-0.151,1.254,0.28,-81.114,71.74,13.847,"1"
"254",-95.948,154.151,-0.336,1.223,0.3,-82.382,85.435,55.679,"1"
"255",-100.96,160.216,-0.28,1.472,0.326,-95.191,124.275,58.229,"1"
"256",-103.008,168.31,-0.152,1.214,0.436,-76.351,114.916,48.855,"1"
"257",-107.859,202.553,-0.285,1.308,0.308,-77.282,102.092,39.282,"1"
"258",-112.766,209.084,-0.305,1.247,0.295,-98.702,111.771,56.198,"1"
"259",-117.931,218.171,-0.233,1.198,0.433,-68.336,100.779,60.947,"1"
"260",-118.238,224.656,-0.2,1.132,0.542,-68.366,107.191,55.954,"1"
"261",-119.675,230.987,-0.216,1.134,0.459,-69.954,113.557,38.687,"1"
"262",-118.249,235.885,-0.21,1.18,0.483,-49.42,101.313,34.794,"1"
"263",-114.446,237.394,-0.248,1.238,0.431,-56.427,87.71,26.092,"1"
"264",-113.023,234.157,-0.258,1.339,0.345,-76.901,86.214,10.244,"1"
"265",-115.49,234.756,-0.278,1.228,0.214,-72.168,88.779,24.519,"1"
"266",-113.085,232.812,-0.316,1.278,0.361,-53.237,64.137,30.977,"1"
"267",-112.427,225.996,-0.414,1.205,0.354,-75.573,44.779,8.031,"1"
"268",-110.203,211.582,-0.295,1.195,0.435,-51.725,3.893,-34.076,"1"
"269",-103.758,189.718,-0.29,1.199,0.478,-19.649,-44.183,-41.786,"1"
"270",-95.05401,166.297,-0.308,1.177,0.388,-10.748,-60.901,-16.84,"1"
"271",-85.531,143.581,-0.303,1.196,0.355,-9.435,-49.924,-16.168,"1"
"272",-74.93,122.591,-0.328,1.264,0.333,-2.29,-63.344,-17.557,"1"
"273",-67.255,100.771,-0.32,1.284,0.229,-25.832,-65.496,-19.16,"1"
"274",-64.441,81.787,-0.35,1.286,0.177,-45.924,-48.672,-26.107,"1"
"275",-63.137,68.885,-0.279,1.274,0.254,-48.702,-24.412,-28.489,"1"
"276",-63.52,63.215,-0.249,1.099,0.393,-40.534,10.733,-12.626,"1"
"277",-60.332,59.295,-0.331,1.142,0.604,-24.718,-19.298,-9.847,"1"
"278",-57.482,50.504,-0.326,1.163,0.479,-30.427,-35.542,-16.931,"1"
"279",-53.713,39.349,-0.303,1.168,0.432,-20.076,-40.748,-16.687,"1"
"280",-47.983,28.575,-0.266,1.187,0.429,-7.053,-46.153,-12.244,"1"
"281",-41.467,14.928,-0.237,1.246,0.241,-18.351,-53.008,-13.695,"1"
"282",-35.984,1.951,-0.467,1.299,0.227,-16.763,-69.374,-59.237,"1"
"283",-39.084,-0.886,-0.916,1.367,0.414,-78.443,-6.031,-235.176,"1"
"284",-50.309,1.717,-0.843,0.7059999,0.328,-79.038,29.649,-234.046,"1"
"285",-58.204,7.402,-0.587,-0.104,0.424,-57.603,64.809,-174.931,"1"
"286",-67.434,14.619,0.022,-0.462,0.509,-42.412,54.244,-138.947,"1"
"287",-71.658,28.599,0.317,-0.41,0.615,-39.603,70.931,-30.733,"1"
"288",-79.357,47.297,-0.088,-0.425,0.758,-65.557,73.16,-24.443,"1"
"289",-92.011,59.957,0.151,-0.563,0.587,-63.954,90.687,-27.527,"1"
"290",-101.624,71.177,0.278,-0.468,0.606,-79.298,50.214,23.817,"1"
"291",-112.243,75.789,0.175,-0.8450001,0.483,-41.313,75.099,-19.786,"1"
"292",-119.818,74.569,0.244,-0.636,0.286,-55.588,7.237,-4.336,"1"
"293",-126.964,79.799,0.213,-0.624,0.454,-51.389,70.672,-6.092,"1"
"294",-128.708,81.307,0.186,-0.489,0.535,-50.733,22,20.779,"1"
"295",-128.257,70.332,0.471,-0.268,0.341,-10.443,-15.237,155.954,"1"
"296",-107.732,49.436,-0.492,0.008,0.928,68.38201,-150.183,259.16,"1"
"297",-83.428,63.634,-0.677,0.67,1.082,31.206,45.588,203.481,"1"
"298",-68.739,68.07701,-0.341,1.023,0.884,32.168,69.725,132.916,"1"
"299",-72.539,103.644,-0.229,1.063,0.48,-55.053,68.687,86.427,"1"
"300",-74.568,120.587,-0.235,1.126,0.468,-55.863,90.41201,69.618,"1"
"301",-74.075,132.905,-0.285,1.125,0.567,-30.504,68.611,48.626,"1"
"302",-70.581,132.026,-0.283,1.275,0.496,-41.817,29.756,-24.641,"1"
"303",-69.143,122.974,-0.285,1.317,0.182,-52.275,-26.107,-47.496,"1"
"304",-69.326,111.594,-0.371,1.287,0.246,-49.45,-16.534,-55.206,"1"
"305",-70.161,104.075,-0.455,1.137,0.392,-56.183,0.7940001,-18.076,"1"
"306",-73.363,102.833,-0.33,1.205,0.466,-50.962,53.176,60.794,"1"
"307",-75.992,106.902,-0.236,1.274,0.423,-63.557,100.305,68.809,"1"
"308",-76.54,115.024,-0.256,1.155,0.486,-43.237,74.962,65.573,"1"
"309",-75.27101,119.203,-0.295,1.182,0.496,-46.351,56.122,9.008,"1"
"310",-72.804,118.63,-0.303,1.183,0.376,-38.305,-8.061,-51.084,"1"
"311",-72.119,108.944,-0.293,1.344,0.234,-56.626,-14.397,-56.962,"1"
"312",-74.374,101.421,-0.23,1.256,0.297,-70.015,38.473,-17.725,"1"
"313",-79.83,104.642,-0.284,1.231,0.333,-97.71,92.137,70.351,"1"
"314",-88.652,125.94,-0.296,1.21,0.382,-91.099,124.87,104.107,"1"
"315",-97.54901,148.813,-0.253,1.205,0.406,-93.023,134.595,96.962,"1"
"316",-102.746,165.798,-0.234,1.085,0.456,-70.992,127.71,51.344,"1"
"317",-101.828,177.874,-0.204,1.118,0.575,-46.366,103.908,24.244,"1"
"318",-98.34701,180.648,-0.276,1.188,0.465,-46.779,71.954,2.076,"1"
"319",-96.75,179.013,-0.406,1.29,0.336,-50.626,22.489,-29.176,"1"
"320",-96.168,171.37,-0.396,1.234,0.388,-64.56501,23.206,-43.511,"1"
"321",-102.508,170.252,-0.538,0.942,0.561,-80.687,29.42,-27.618,"1"
"322",-108.12,168.548,-0.459,0.948,0.592,-77.237,54.504,43.298,"1"
"323",-113.025,170.485,-0.464,1.233,0.486,-72.534,87.359,123.267,"1"
"324",-118.743,174.878,-0.267,1.236,0.397,-82.336,173.466,101.405,"1"
